"ITEM","CATEGORY","AVAILABLE","PRICE","STATUS","PRODUCER","TITLE SPANISH","UNIT QUANTITY","UNIT","SCHEDULES","SEASON","IS CREDIT","PACK SEPARATELY","PACKING TYPE","MAX PER MEMBER","IMAGE URL","DESCRIPTION","LINK","WEIGHT"
"Casco Bay Buttery | Sea Salt","Pantry Staples","9997","6.99","Published","Casco Bay Buttery Co.","","1","Item",,"","false","false",,"10","http://www.cascobaybutter.com/wp-content/uploads/simpleecommcart/digitalproduct/sea_salt_butter_rs.jpg","This popular flavor is extremely versatile for both sweet and savory applications. You can pair it with ANYTHING!",,"Light"
"Iggy's | Country | Long","Iggy's","478","3.5","Published","Iggy's Bread","","1","loaf",,"","false","false",,"10","https://lh5.googleusercontent.com/-zIgYGa_0occ/UouNr9QIkgI/AAAAAAAAAF8/nLf_LNYFiGM/w567-h560-no/iglogoround.jpg","",,"Light"
"Life Force | Deep Green","Drinks","1000","8.99","Draft","Lifeforce Juice","","1","Item",,"","false","false",,"10","http://lifeforcejuice.com/wp-content/uploads/2012/11/green_juice.jpg","Energize your day with a juice of dark leafy greens and balance the strong green flavor with the slight sweetness of apple.
Get all your daily veggies in a glass!

Ingredients: Swiss Chard, Cucumber, Celery. 100 percent organic

",,"Light"
"Casco Bay Buttery | Garlic & Herb","Pantry Staples","10000","6.99","Published","Casco Bay Buttery Co.","","1","Item",,"","false","false",,"10","http://www.cascobaybutter.com/wp-content/uploads/simpleecommcart/digitalproduct/garlic_herb_rs.jpg","Spread on sliced french bread. Top with a sprinkle of parmesan or mozzarella and bake or broil. Or add to quinoa or pasta for an easy meal full of flavor.",,"Light"
"Stew Meat","Grass Roots Farm","500","12","Draft","Grass Roots Farm","","1","lbs",,"","false","false",,"10","https://lh3.googleusercontent.com/-ub7EDAGvGLg/Ufw1ELFghWI/AAAAAAAAAI4/sppUyWsmj54/w140-h141-no/photo.jpg","Grass Roots Farm | Grass Fed Beef | Stew Meat",,"Light"
"Sparkling Grapefruit","Spindrift","500","3.25","Draft","Spindrift","","12","ounce",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","Made with a 1/4 of a fresh squeezed grapefruit and fresh squeezed lemon juice.",,"Light"
"Honu's Hearth | Sage Pickle Cracker","Snacks + Sweets","497","8.99","Published","Honu's Hearth","","1","bag",,"","false","false",,"10","https://lh4.googleusercontent.com/dmIWIQ9dhpVBaeZX6pRVGhGjfjjvaseDVR6dp-p-YYo=w425-h359-no","",,"Light"
"Robinson Farm | Hardwick Stone","Cheese","9999","10.95","Published","Robinson Farm","","1","Item",,"","false","false",,"10","https://lh5.googleusercontent.com/MSaIe4Q0ReR4PUR0OxVsI3nFNXn-dBHcmenvNxrWB6s=w220-h219-no","Hardwick Stone** 2011 Silver Medal
A Brick style 1870’s family recipe, akin to a mild cheddar. 
Aged 6-9 months. AVAILABLE SEPTEMBER 2013",,"Light"
"Maine Grains | Rolled Oats","Pantry Staples","10000","9.29","Published","Something GUD","","4","lbs",,"","false","false",,"10","https://lh5.googleusercontent.com/b__R2Peniue4kcejEEyQraoBWSRGY4OyvHtZrEPdSCI=s432-no","Oats are a crop ideally suited to cool moist climates and Maine potato farmers have been growing oats for years. Oats are a beneficial addition to the farm ecosystem and a health addition to the human diet. Our oats are sweet and hearty. Cook the cracked oats as you would steel cut oats.

Grown in Aroostock County, ME
Variety ""AC Alymer"" hulled oats
Cracked oats resemble and cook just like steel cut.",,"Light"
"Cheese","","0","10","Draft","Something GUD","","1","half-pound",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Sampler 3-Pack","Pantry Staples","50","28","Draft","Alex's UGLY Sauce","","3","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-zktod6sakpc/Ukjlpm89xgI/AAAAAAAAAvA/IemMaxHEWhc/w640-h480-no/ugly+sauce.jpg","Milder, Original and Dragon - you can put any or all of them on the table for any meal and know that each one will complement your food perfectly. The ideal introduction to Alex's Ugly Sauce for a newcomer, or a great gift for yourself (just because).",,"Light"
"Swissbakers | Challah","Swissbakers","98","5.5","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Challah-2.jpg","A traditional braided bread, our Challah is soft and just a little sweet.",,"Light"
"Salt & Pepper","Snacks + Sweets","500","5","Draft","Taza Chocolate","","1","Item",,"","false","false",,"10","https://lh4.googleusercontent.com/-wA5YmW6pZgk/Uf2R5gHZqWI/AAAAAAAAARM/1xOHKrKqHQU/w110-h97-no/Salt_Pepper_110x97.png","Salt, black pepper, chocolate.  Taza stirs naturally organic coarse kosher salt into their rustic, stone ground Chocolate Mexicano for a sweet-salty tang and crystalline crunch. Organic cracked black peppercorns add bursts of warm savory spice that linger on the palate, creating a delicious contrast with the bright flavor of their single origin Dominican cacao.

55% Dark Chocolate. Ingredients: Organic cacao beans, organic cane sugar, organic black pepper, Kosher salt. May contain traces of tree nuts and/or peanuts.",,"Light"
"Bee Fields Farm | Lion's Heart Tea","Drinks","6","15","Draft","Bee Fields Farm","","3","oz",,"","false","false",,"10","http://www.beefieldsfarm.com/sites/default/files/uploads/Images/logosm.jpg","This uplifting tea supports that inner feeling of peace and courage. Especially beneficial for winter gloom.

Lion's Heart tea is made from Lemon Balm (Melissa officinalis), Sacred Basil (Ocimum tenuiflorum), Borage (Borago officinalis) flowers and leaves, Heartsease Pansy flowers (Viola tricolor), St John's wort (Hypericum perforatum).",,"Light"
"Sirloin","Grass Roots Farm","500","18","Draft","Grass Roots Farm","","0.5","lbs",,"","false","false",,"10","https://lh3.googleusercontent.com/-ub7EDAGvGLg/Ufw1ELFghWI/AAAAAAAAAI4/sppUyWsmj54/w140-h141-no/photo.jpg","Grass Roots Farm | Grass Fed Beef | Sirloin",,"Light"
"Effies Homemade | Oatcakes","Snacks + Sweets","21","5.99","Published","Effie's Homemade","","1","Item",,"","false","false",,"10","http://www.effieshomemade.com/sites/default/files/imagecache/product_image/oatcakes.jpg","",,"Light"
"Roasted Red Pepper, Goat Cheese & Chive Ravioli","Pasta","499","11","Draft","Nella Pasta","","1","box",,"","false","false",,"10","https://lh5.googleusercontent.com/-d-0Plr69o8s/Uf_51Yf4nhI/AAAAAAAAAW4/KanHtbDZ2OA/w140-h105-no/photo.jpg","Fresh ravioli pasta sourced from local ingredients.",,"Light"
"Tofu","","100","4","Draft","Something GUD","","1","pound",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Daniele | Pre-Sliced | Salame Milano","Daniele","10000","4.99","Published","Daniele, Inc.","","1","Item",,"","false","false",,"10","https://lh4.googleusercontent.com/eQHe8R7EOeaPSonsjPwOSFVm0-axhBLlYQ-fw7LJF6c=w413-h312-no","Locally sourced, uncured, pre-sliced, salame milano with a smoky flavor.",,"Light"
"Swissbakers | Pajazzo | Dark","Swissbakers","998","3.75","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://a248.e.akamai.net/origin-cdn.volusion.com/bngnk.svagu/v/vspfiles/photos/Pajazzo-2.jpg?1356185289","Naturally fat-free, the Pajazzo is our answer to the classic French baguette. Crunchy on the outside and soft and chewy on the inside, this bread is a crowd-pleaser.",,"Light"
"Iggy's | Whole Wheat | Long","Iggy's","484","3.5","Published","Iggy's Bread","","1","loaf",,"","false","false",,"10","https://lh5.googleusercontent.com/-zIgYGa_0occ/UouNr9QIkgI/AAAAAAAAAF8/nLf_LNYFiGM/w567-h560-no/iglogoround.jpg","",,"Light"
"Fazenda Coffee | Light Roast","Drinks","100","11.95","Published","Fazenda Coffee","","12","oz",,"","false","false",,"10","https://lh3.googleusercontent.com/TNv-vYuesnwT7MD1RzSN2JeIflqSL3dIsIOFwowmKhE=w893-h518-no","Good Coffee is our cause.

At Fazenda Coffee Roasters we pride ourselves on offering only the highest quality seasonal beans available. As artisans, we roast only specialty coffee in small batches.

From green coffee selection to creating a roast profile that best fits each coffee, from tracking every batch to tasting them ourselves in daily cuppings, to learning and sharing the art and science of our passion, we apply rigorous criterion and set the highest of standards.",,"Light"
"Feather Brook Farm - Half-Chicken","Meats","91","15","Published","Feather Brook Farm","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-kI40juMxqDI/UpDvS5YN7GI/AAAAAAAAAG8/4mlSpI-XtoI/w945-h531-no/logo+art+in+indesign.jpg","",,"Light"
"Naragansett Creamery | Salty Sea Feta","Cheese","10000","5.5","Published","Naragansett Creamery","","1","Item",,"","false","false",,"10","http://greenegrape.files.wordpress.com/2010/10/narangansett.gif","Salty Sea Feta: Crafted from whole milk and sea salt, our feta won a Gold Medal at the Wisconsin World Cheese Championships! Our 'Ocean State' fans were as proud as we were.",,"Light"
"Burrata","Cheese","498","7.5","Draft","Fiore di Nonno","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-P54q6B_dZnY/UecXSiSqItI/AAAAAAAAAL8/2w1SQFPi2UI/w205-h140-no/burrata.png","Burrata originates from a particular area of Italy's Apulia region called Murgia. It consists of a disk of fresh mozzarella shaped into a pouch, stuffed with stracciatella - a mixture of mozzarella curds, fresh cream and salt.

Lourdes has put her own twist on the old recipe, pairing the modern and the traditional by mixing the tastes of sweet, savory and tangy within mascarpone- and yogurt-based fillings. Fiore di Nonno also creates mozzarella pouches filled with extra-virgin olive oil.",,"Light"
"Honu's Hearth | Tomato Basil Cracker","Snacks + Sweets","497","8.99","Published","Honu's Hearth","","1","bag",,"","false","false",,"10","https://lh5.googleusercontent.com/tlaKUcRT5e4GIkIlmHrmn3KasOe-7Es3rRO6-kBvdpw=w432-h347-no","Wholesome bursts of nutrient-dense flavor are locked in by heating under 115 degrees. A good source of dietary fiber (not a low fat food) and Vitamin C, Honu’s Hearth Crackers are dehydrated, not baked. Packed with beneficial nutrients and enzymes, experience the extraordinary chi!

Honu’s Hearth, love yourself with every bite!

- Naturally Gluten Free Ingredients
- Wheat Free
- Soy Free
- 100% Raw Vegan",,"Light"
"Milk","Dairy & Eggs","500","4.5","Draft","Shaw Farm","","1","Item",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","Shaw Farm milk is pasteurized in a low-temperature (146°) vat pasteurizer, held at this temperature for 30 minutes and then cooled to 40 degrees, or lower, before it is bottled, in order to protect the flavor. This is different from the large industry standard of High Temperature/Short Time (HTST) or Ultra-High Temperature (UHT) pasteurization.

While the vat pasteurization process is slower, the extra time to preserve the rich old-fashioned flavor and increase health benefits is invaluable.",,"Light"
"Bee Fields Farm | Digestea","Drinks","6","15","Published","Bee Fields Farm","","3","oz",,"","false","false",,"10","http://www.beefieldsfarm.com/sites/default/files/uploads/Images/logosm.jpg","An anise blend to help relieve indigestion, gas & bloating.

Digestea is made from Fennel (Foeniculum vulagar), Anise hyssop (Agastache foeniculum), Oregano (Origanum vulgare) and Rosemary (Rosmarinus officinalis).

Bee Fields Farm makes herbal tea.",,"Light"
"Two Guys in VT | Veggie Basil Goodness","Pantry Staples","9997","5","Published","Two Guys in Vermont","","1","Item",,"","false","false",,"10","http://twoguysinvermont.com/wp-content/uploads/2011/04/soups-2-900x698.png","Vegan-friendly, Gluten-free

Our recipe has a homemade-like texture. We coarsely chop fresh carrots, onions, celery and garlic, sauté them in extra virgin olive oil, add vine-ripened tomatoes and, since we don’t use artificial thickeners or add unnecessary sweeteners or flavor enhancers, we stir in pureed cannellini beans for a mild earthy flavor and as a natural soup thickener. We then add bunches of fragrant fresh basil for a fulfilling taste and eating experience! Keep your culinary guard up for the occasional zip in your sip, courtesy of pungent black pepper! Its crisp texture offers a satisfying eating experience—and is a good source of fiber and is rich in Vitamin A and C.
This is not your traditional canned vegetable soup. Our Veggie Basil Goodness recipe pushes traditional soup-aisle norms. It’s an amazing fusion of flavors that will have you desiring more!

",,"Light"
"Daniele | Pre-Sliced | Sopressata","Daniele","10000","4.99","Published","Daniele, Inc.","","1","Item",,"","false","false",,"10","https://lh5.googleusercontent.com/AHBh5Zr-jNA4wQkjUMWZMambP9Xavw38j0yg1DlyVAQ=w578-h560-no","Coarsely ground premium pork & locally sourced!",,"Light"
"Fazenda Coffee | Decaf","Drinks","100","11.95","Published","Fazenda Coffee","","12","oz",,"","false","false",,"10","https://lh3.googleusercontent.com/TNv-vYuesnwT7MD1RzSN2JeIflqSL3dIsIOFwowmKhE=w893-h518-no","Good Coffee is our cause.

At Fazenda Coffee Roasters we pride ourselves on offering only the highest quality seasonal beans available. As artisans, we roast only specialty coffee in small batches.

From green coffee selection to creating a roast profile that best fits each coffee, from tracking every batch to tasting them ourselves in daily cuppings, to learning and sharing the art and science of our passion, we apply rigorous criterion and set the highest of standards.",,"Light"
"Lifeforce Juice | Liquid Sun","Drinks","96","8.99","Published","Lifeforce Juice","","1","Item",,"","false","false",,"10","http://lifeforcejuice.com/wp-content/uploads/2012/11/carrot_orange_turmeric.jpg","Carrots, Oranges and Turmeric combine to fight inflammation, enhance skin health and taste like a drop of sweet sunlight. Turmeric is one of nature's greatest inflammation reducers, we see it as a necessity to counteract the stresses of modern life.

Ingredients: Organic Carrot, Orange, Turmeric. ",,"Light"
"Naragansett Creamery | Angelito Garlic + Herb","Cheese","3","5.5","Published","Naragansett Creamery","","1","Item",,"","false","false",,"10","http://greenegrape.files.wordpress.com/2010/10/narangansett.gif","This spreadable cheese, similar to cream cheese but lower in fat, is simple, fresh and made without stabilizers! Sold in 8 oz packs and commercial sizes.",,"Light"
"Poblano Farm | Chipotle Salsa","Pantry Staples","4","7","Published","Poblano Farm","","16","oz",,"","false","false",,"10","https://lh6.googleusercontent.com/RYfl50Nudv8xar_qDxlwGfniFnHV0PB2chEMFIAHCME=w270-h225-no","Our Chipotle Salsa is a classic Mexican salsa and our hottest, we call it medium plus. Its unique flavor is the perfect balance of sweet ripe tomatoes and the rich, smokey, spice of the chipotle pepper. This is a naturally sweet salsa with bold chili flavors and a distinctive late heat.

Ingredients:
Plum tomatoes, chipotle in adobo(chipotle peppers, ancho peppers, vinegar, tomato, salt, spices) jalapeno peppers, water, fresh onions, cilantro, sea salt, citric acid.",,"Light"
"Swissbakers | Berliner | Chocolate","Swissbakers","988","2.15","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Berliner-Chocolate-Filled-2.jpg","",,"Light"
"Butter","Curated Box","500","5","Draft","Something GUD","","1","pound",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Tekenink Tomme (tee-key-neek tum)","Robinson Farm","500","10","Draft","Robinson Farm","","1","Item",,"","false","false",,"10","https://lh6.googleusercontent.com/-gUFALXwOXtA/Uecel8PCVWI/AAAAAAAAANM/CCz5Fm9tmmc/w205-h140-no/cheese1.jpg","2011 Gold Medal, 2012 Bronze Medal
Rustic, pungent, slightly saline, creamy. Very sharp.
Aged 7-10 months.",,"Light"
"Nella Pasta | Smoked Mozzarella, White Bean & Sage","Pasta","24","11","Published","Nella Pasta","","1","Item",,"","false","false",,"10","https://lh4.googleusercontent.com/-032q2GdTNKA/UksJ0Fz6dVI/AAAAAAAAAwY/2bvrrg4mbi8/w640-h551-no/nella+1.png","Nella Pasta | Smoked Mozzarella, White Bean & Sage",,"Light"
"Lilac Hedge Farm | Ground Beef","Meats","95","8.5","Published","Lilac Hedge Farm","","1","Item",,"","false","false",,"10","https://lh6.googleusercontent.com/-DgdZy3MOG0Y/UtX-wl0yD7I/AAAAAAAAAeo/5HogFk35vR4/w414-h181-no/e505ca_de2c60054d7cadac9e25089175855d72.png_srz_459_201_75_22_0.50_1.20_0+%25281%2529.jpg","",,"Light"
"Ginger","Snacks + Sweets","499","5","Draft","Taza Chocolate","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-1FK5smFMn-0/Uf2R48iXVzI/AAAAAAAAAQo/-wejwtc0rik/w110-h97-no/Ginger_Overhead-Clipped.png","Ginger lends a deliciously exotic twist to our 70% Chocolate Mexicano. Taza grinds single-origin Dominican cacao using vintage Oaxacan stone mills to preserve its bright fruity flavor and rustic texture. They then stir in premium organic ground ginger root, creating an enticingly aromatic chocolate with a hint of lingering spice.

70% Dark Chocolate. Ingredients:  Organic cacao beans, organic cane sugar, organic ginger powder. May contain traces of tree nuts and/or peanuts.",,"Light"
"Naragansett Creamery | Pirate Spread","Cheese","4","5.75","Published","Naragansett Creamery","","1","Item",,"","false","false",,"10","http://greenegrape.files.wordpress.com/2010/10/narangansett.gif","A spicy, sweet spread made from our Salty Sea Feta, sundried tomatoes, rosemary, cayenne pepper and olive oil. Enjoy on crostini, as a vegetable dip, or in a sandwich or wrap. Add to an omelet or toss with grilled shrimp for a burst of flavor.",,"Light"
"Daniele | Pre-Sliced | Mortadella","Daniele","8","3.2","Published","Daniele, Inc.","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-Gqm3MTtK__Q/UuB2aXFOj5I/AAAAAAAAAi8/O4uiUS-gL-U/w207-h151-no/mortadella.jpg","",,"Light"
"Fiore | Fresh Mozzarella","Cheese","483","6","Published","Fiore di Nonno","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/da2XVQnmRcA21g5icNf6pvCBV9v3tDTGABHzGt_pAVU=w234-h176-no","",,"Light"
"Swissbakers | Choco Weggli","Swissbakers","99","1.5","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Choco-Weggli-2.jpg","One of the most popular items in the shop; the fact that they sell out almost every day tells you how great they are! There’s no added sugar in the dough, so all the sweetness comes from the chocolate chips and the sprinkling of pearl sugar on top. Perfect mid-afternoon pick-me-up.",,"Light"
"Iggy's | French | Baguette","Iggy's","490","3","Published","Iggy's Bread","","1","loaf",,"","false","false",,"10","https://lh5.googleusercontent.com/-zIgYGa_0occ/UouNr9QIkgI/AAAAAAAAAF8/nLf_LNYFiGM/w567-h560-no/iglogoround.jpg","",,"Light"
"Swissbakers | Pretzel Rolls","Swissbakers","996","7.5","Published","Swissbakers","","6","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Pretzel-Roll-2.jpg","Perfect for a snack, perfect as a sandwich bread, perfect for dunking in soup or sauce… get the picture?",,"Light"
"Feather Brook Farm | Whole Chicken","Meats","99","30","Published","Feather Brook Farm","","1","Item",,"","false","false",,"10","https://lh5.googleusercontent.com/-kI40juMxqDI/UpDvS5YN7GI/AAAAAAAAAG8/4mlSpI-XtoI/w922-h518-no/logo+art+in+indesign.jpg","",,"Light"
"Fiore | Lavender Honey & Chili Burrata","Cheese","493","7.5","Published","Fiore di Nonno","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/da2XVQnmRcA21g5icNf6pvCBV9v3tDTGABHzGt_pAVU=w234-h176-no","Fiore di Nonno's Lavender Honey & Chili Burrata is filled with Italian mascarpone, a dab of creamy Greek yogurt, and honey that has been infused with lavender petals and hot chili flakes. This sweet burrata has a hint of heat that will spice up any dessert plate.",,"Light"
"Bee Fields Farm | Breathease Tea","Drinks","6","15","Published","Bee Fields Farm","","3","oz",,"","false","false",,"10","http://www.beefieldsfarm.com/sites/default/files/uploads/Images/logosm.jpg","A warming tea that nourish and support the respiratory system.

Breathease tea is made from: Thyme (Thymus vulgaris), Sage (Salvia officinalis), Hyssop (Hyssopus officinalis), Beebalm (Monarda didyma).

Bee Fields Farm makes herbal tea.",,"Light"
"Arpeggio (är-'pe-jē-ō)","Robinson Farm","499","12.5","Draft","Robinson Farm","","1","Item",,"","false","false",,"10","https://lh6.googleusercontent.com/-gUFALXwOXtA/Uecel8PCVWI/AAAAAAAAANM/CCz5Fm9tmmc/w205-h140-no/cheese1.jpg","In music, Arpeggio means playing all the notes of a chord in rapid succession. We liken our Arpeggio to savoring the aroma and flavor notes of the terrior in one bite. Washed rind. Strong aroma, beautiful finish, soft, spreadable cheese. 
Aged 2-4 months.",,"Light"
"Beet Juice","Daniele","497","9","Draft","Motherjuice","","1","jar",,"","false","false",,"10","https://lh3.googleusercontent.com/-PCRe3qz1RGs/UectOfVzzEI/AAAAAAAAAPM/T8YGV1AnvXo/w205-h140-no/Screen+Shot+2013-07-17+at+7.47.08+PM.png","Purple drank; a beet based juice blend fused with seasonal local, organic fruits, veggies and greens.",,"Light"
"Iggy's | Bagels | Everything","Iggy's","993","3.99","Published","Iggy's Bread","","4","Item",,"","false","false",,"10","https://lh5.googleusercontent.com/-zIgYGa_0occ/UouNr9QIkgI/AAAAAAAAAF8/nLf_LNYFiGM/w567-h560-no/iglogoround.jpg","4 Bagels / $3.99",,"Light"
"Nella Pasta | Brussells Sprouts, Caramelized Onion & Asiago","Pasta","23","11","Published","Nella Pasta","","1","Item",,"","false","false",,"10","https://lh4.googleusercontent.com/-032q2GdTNKA/UksJ0Fz6dVI/AAAAAAAAAwY/2bvrrg4mbi8/w640-h551-no/nella+1.png","Nella Pasta | Brussells Sprouts, Caramelized Onion & Asiago",,"Light"
"Swissbakers | Mini Swirl","Swissbakers","992","1.5","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Mini-Swirl-2.jpg","Danger! Highly addictive! If you like the taste of hazelnuts, you’ll love the MiniSwirl. Just sweet enough for that kick.",,"Light"
"Lifeforce Juice | The Classic","Drinks","1000","8.99","Published","Lifeforce Juice","","1","Item",,"","false","false",,"10","http://lifeforcejuice.com/wp-content/uploads/2012/12/carrot_apple_ginger.jpg","Nourish your digestive system with this traditional and powerful  elixir. Ginger is traditionally used to comfort stomach problems, and strengthen the immune system while the malic acid in the apples extracts even more nutrients in the juicing process.

Ingredients: Carrot, Apple, Ginger. 100 percent organic.",,"Light"
"Rib Eye","Grass Roots Farm","500","18.5","Draft","Grass Roots Farm","","0.5","lbs",,"","false","false",,"10","https://lh3.googleusercontent.com/-ub7EDAGvGLg/Ufw1ELFghWI/AAAAAAAAAI4/sppUyWsmj54/w140-h141-no/photo.jpg","Grass Roots Farm | Grass Fed Beef | Rib Eye",,"Light"
"Poblano Farm | Roasted Salsa","Pantry Staples","11","7","Published","Poblano Farm","","16","oz",,"","false","false",,"10","https://lh5.googleusercontent.com/kgX26LTl6VINB4V9qEFZ7aJIPt4FCsjhl0OSfgJzAU0=w267-h226-no","Our Roasted Salsa is the original salsa at Poblano Farm. It's made from poblano peppers, the namesake of our farm. We fire roast the peppers for a naturally sweet flavor, combine them with ripe tomatoes, and add jalapenos for a touch of heat. The result is a salsa with perfect medium heat and a delicious authentic Mexican flavor.

Ingredients:
Plum tomatoes, roasted poblano peppers, jalapeno peppers, water, fresh onions, cider vinegar, cilantro, sea salt, citric acid.",,"Light"
"Daniele | Pre-Sliced | Uncured Chorizo","Daniele","9998","4.99","Published","Daniele, Inc.","","1","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/tyyqrhIBbxLm9qQOH1ZRNyI60cfvovDYxTg2GpzhWJc=w429-h297-no","",,"Light"
"Alex's Ugly | Original","Pantry Staples","10000","8.75","Published","Alex's UGLY Sauce","","1","Item",,"","false","false",,"10","https://lh6.googleusercontent.com/QndJEfw6xWo-pfEivFeaIazQoRoOIxwcMoIaKpl2jXQ=w153-h90-no","ORIGINAL

This is the one that started all the madness! We blend Habanero, Cayenne and Serrano peppers to give Alex's Ugly Sauce Original a complex, whole-mouth heat to go with its awesome flavor. It took 4 years to come up with this unique combination of heat and flavor, and it is without a doubt our signature offering. Bring a bottle into your home, and see what all the fuss is about.",,"Light"
"Swissbakers | Zopf","Swissbakers","997","5.5","Published","Swissbakers","","1","Item",,"","false","false",,"10","http://cdn3.volusion.com/bngnk.svagu/v/vspfiles/photos/Zopf-2.jpg","It might look like a Challah, but the Zopf isn’t nearly as sweet, making it a great option where you want a soft bread with a light flavor. It’s traditionally served on Sundays in Switzerland.",,"Light"
"Pastured Pork - Shoulder Steak","Meat & Fish","500","15","Draft","Grass Roots Farm","","1","Item",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Bee Fields Farm | Moon Tea","Drinks","6","15","Published","Bee Fields Farm","","3","oz",,"","false","false",,"10","http://www.beefieldsfarm.com/sites/default/files/uploads/Images/logosm.jpg","Nourishing blend for woman in all her phases.

Moon tea is made from Alfalfa leaf (Medicago sativa), Red Raspberry leaves (Rubus idaeus), Neffle leaves (Urtica dioica), Oats straw (Avena sativa), Red clover blossoms (Trifolium pratense).

Bee Fields Farm makes herbal tea.",,"Light"
"Party Pretzel","Swissbakers","500","12.5","Draft","Swissbakers","","1","Item",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","Perfect for an event or party, serves 8",,"Light"
"f. Taste of Taza","Snacks + Sweets","50","55.5","Draft","Taza Chocolate","","1","box",,"","false","false",,"10","http://www.tazachocolate.com/graphics/userUploads/products/tasteoftaza342x387.png","Product Description
An elegant cigar-style gift box brimming with a generous assortment of organic stone ground dark chocolate. A Taste of Taza offers serious chocolate lovers the chance to experience the full range of intense flavors and bold textures of Mexican-style chocolate.

The Taste of Taza: Organic cocoa Roasted Nibs,1 60% Stone Ground Bar, 80% Stone Ground Bar, 4 Assorted Dark Chocolate Mexicano Discs: Orange, Cinnamon, Guajillo Chili, Caco Puro, 1 Can Dark Chocolate Covered Nibs. May contain traces of nuts.",,"Light"
"Variety 3-Pack","Pantry Staples","50","28","Draft","Alex's UGLY Sauce","","3","Item",,"","false","false",,"10","https://lh3.googleusercontent.com/-zktod6sakpc/Ukjlpm89xgI/AAAAAAAAAvA/IemMaxHEWhc/w640-h480-no/ugly+sauce.jpg","A bottle for every taste and every meal. Our Variety Pack has a 5oz. bottle of Alex's Ugly Sauce Milder, Original and Habanero sauces. Now you can match the heat level you want to any dish and know that you will always be adding the best hot sauce possible to your food.",,"Light"
"Deborah's Kitchen | Forest Berries","Pantry Staples","0","8","Out of Stock","Deborah's Kitchen","","1","jar",,"","false","false",,"10","https://lh5.googleusercontent.com/o0PzXhqEuYq16WMAR-5fdKR2WKOckCzBWW-uKAO-QVc=w648-h486-no","The Forest Berries is Deborah's most popular item. This classic quartet of Raspberries, Strawberries, Blueberries and Blackberries, perform wonders on your breakfast breads and desserts.

Ingredients:
Raspberries, Blueberries, Strawberries, Blackberries",,"Light"
"Pretzel","Swissbakers","500","4","Draft","Swissbakers","","1","Item",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Cold-Pressed Fruit & Veggie Juice","","100","9","Draft","Something GUD","","1","jar",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
"Feather Brook Farm - 30 Wings","Meats","34","30","Published","Feather Brook Farm","","1","bag",,"","false","false",,"10","https://lh3.googleusercontent.com/-kI40juMxqDI/UpDvS5YN7GI/AAAAAAAAAG8/4mlSpI-XtoI/w945-h531-no/logo+art+in+indesign.jpg","",,"Light"
"f. Dark Mixed Case of Chocolate Mexicano","Snacks + Sweets","50","110","Draft","Taza Chocolate","","1","box",,"","false","false",,"10","http://www.tazachocolate.com/graphics/userUploads/products/MixedDarkLG.png","Our 70% Variety Case of Taza Chocolate Mexicano is perfect for serious chocolate lovers who appreciate the dark, intense, bittersweet flavor profile of our 70% Chocolate Mexicanos. The 70% Variety Case features six discs each of our four 70% flavors: smoky Chipotle, fragrant Ginger, sweet-tart Orange, and our simplest chocolate, Cacao Puro.  The Variety Case will get you well-stocked, so you won’t have to worry about being without your Taza fix. Great for gifting as well! An 8% discount is included in the price of this case.

Contains: 24 x 2.7 OZ Chocolate Mexicano discs, six each of Chipotle, Ginger, Orange, Cacao Puro. May contain traces of nuts.",,"Light"
"Jack Cheeze Kale Krunch","Honu's Hearth","495","5.59","Draft","Honu's Hearth","","1","bag",,"","false","false",,"10","/staticResource/resources/item-no-image.jpg","",,"Light"
